Epoch,train_loss_pcam_quantum_20_epochs_20251210_134508,val_loss_pcam_quantum_20_epochs_20251210_134508,accuracy_pcam_quantum_20_epochs_20251210_134508
0,0.5765254061552696,0.6114689433015883,0.6089726090431213
1,0.5230297417729162,0.5000574919395149,0.7857604622840881
2,0.6459341648151167,0.5410073264501989,0.7047261595726013
3,0.5664333763998002,0.6889041569083929,0.0851336419582367
4,0.649546729226131,0.5488616148941219,0.7467458248138428
5,0.5475976516027004,0.50214574765414,0.789470911026001
6,0.6283026703749783,0.6233445536345243,0.723542332649231
7,0.6068386845290661,0.6916541354730725,0.6907932162284851
8,0.6435333015397191,0.6007683295756578,0.7310358285903931
9,0.6322681036544964,0.5823447974398732,0.7439948320388794
10,0.5945794241852127,0.6112891519442201,0.71673583984375
11,0.5476093825418502,0.5183550724759698,0.7451079487800598
12,0.5189049956970848,0.520981427282095,0.7281151413917542
13,0.5132125979871489,0.49465357372537255,0.7840750217437744
14,0.5004900349886157,0.49088547891005874,0.6416589617729187
15,0.4916724474169314,0.5139817968010902,0.7705824971199036
16,0.49039858364267275,0.49362503131851554,0.7105773091316223
17,0.48457453527953476,0.48519203858450055,0.7113326787948608
18,0.48553865758003667,0.48191113444045186,0.7088536620140076
19,0.48399019514909014,0.4823095751926303,0.7027658820152283
