Epoch,train_loss_tcga_quantum_1000_epochs_20251209_161618,val_loss_tcga_quantum_1000_epochs_20251209_161618,accuracy_tcga_quantum_1000_epochs_20251209_161618
0,3.4777894616127014,3.451129118601481,0.030026087537407875
1,3.3510289430618285,3.2948545614878335,0.03019285760819912
2,3.303865385055542,3.2214061419169107,0.047712914645671844
3,3.269479179382324,3.2245307763417563,0.04874419793486595
4,3.2449820399284364,3.192700465520223,0.04147494584321976
5,3.2453665852546694,3.207451025644938,0.0484653003513813
6,3.2280513644218445,3.1790170669555664,0.045877695083618164
7,3.206623578071594,3.174677054087321,0.04688779637217522
8,3.206682252883911,3.25840171178182,0.05281298980116844
9,3.1968457221984865,3.1467756430308023,0.05506787821650505
10,3.183018887042999,3.1550704638163247,0.05257372558116913
11,3.191055679321289,3.191078503926595,0.051955677568912506
12,4.168821692466736,4.075602451960246,0.03030303120613098
13,3.8659119725227358,3.5063656171162925,0.02914406545460224
14,3.506265366077423,3.483623822530111,0.026634734123945236
15,3.393511343002319,3.3600920836130777,0.030012967064976692
16,3.337823581695557,3.3196933269500732,0.04669509083032608
17,3.29414359331131,3.250981171925863,0.0363636389374733
18,3.253321099281311,3.203684171040853,0.045754846185445786
19,3.231694686412811,3.2058608531951904,0.04613456130027771
20,3.219143879413605,3.171679735183716,0.04421629384160042
21,3.2021588921546935,3.167781670888265,0.04661479592323303
22,3.2072566151618958,3.1907652219136557,0.04766584932804108
23,3.2009084701538084,3.2274766763051352,0.0459807813167572
24,3.210766053199768,3.197871685028076,0.04564564675092697
25,3.204194927215576,3.1861513455708823,0.0636802464723587
26,3.1975052833557127,3.150657812754313,0.04578835144639015
27,3.1917829871177674,3.162482261657715,0.048435136675834656
28,3.197762405872345,3.204724073410034,0.05687057226896286
29,3.2077777862548826,3.1547933419545493,0.04776737093925476
30,3.197955048084259,3.1421844164530435,0.06026972830295563
31,3.1976016998291015,3.1439410050710044,0.04622412472963333
32,3.190989673137665,3.186143159866333,0.04948130249977112
33,3.1909534692764283,3.1668341954549155,0.048170898109674454
34,3.1939102172851563,3.2152043183644614,0.047236934304237366
35,3.1901195526123045,3.146003484725952,0.04593849927186966
36,3.187450885772705,3.178980588912964,0.044716089963912964
37,3.191973257064819,3.2043254375457764,0.05159718170762062
38,3.178440046310425,3.1562023162841797,0.04577361419796944
39,3.1882073044776917,3.1755433877309165,0.04882544279098511
40,3.1841261863708494,3.1734887758890786,0.05153021216392517
41,3.1861507534980773,3.1855955918629966,0.04726255312561989
42,3.1998881459236146,3.1603082021077475,0.0454818457365036
